FC,canonical_smiles
0.262043667,Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)C1CCCN(C1)C(=O)C=C
-0.011761396,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1
0.034103612,CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2c(CCC2=NO)c1)-c1ccncc1
0.054637446,COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c1cc(Cl)c(N)cc1OC
-0.00274377,N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12
0.061327453,CN(C)CCN1C(=O)c2cccc3cc(N)cc(C1=O)c23
0.011228492,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2c1
-0.014916966,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12
-0.028334382,Cc1ccc(C=NNC(=O)c2ccccc2Oc2ccccc2)o1
-1.88e-06,COc1cc(cc(OC)c1OC)C(=O)NCc1ccc(OCCN(C)C)cc1
-0.024733124,O=S1(=O)N[C@H]2CCCN2c2ccccc12
0.1255657,COc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)N1CCN(C)CC1
-0.227463944,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](CN(C)C1=O)C(O)=O
-0.048849176,Cc1cc(=O)oc2cc(O)ccc12
0.048677114,NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1
-0.005880858,FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)N1CC[C@@H](C[C@H]1Cc1ccc(Cl)cc1)NC(=O)c1ccnc2ccccc12
0.003450327,CCCCC/C=C/C=C/1[C@@H](C/C=CCCCC(=O)O)C=CC1=O
-0.042678703,O=C(CS(=O)Cc1ccco1)NCC=C/COc1cc(CN2CCCCC2)ccn1
-0.018296911,O[C@H]1CC[C@@H](CC1)Nc1ncc2nc(Nc3c(F)cc(F)cc3F)n([C@H]3CCOC3)c2n1
-0.095938576,Clc1ccc(s1)C(=O)NCC1CN(C(=O)O1)c1ccc(cc1)N1CCOCC1=O
0.02463417,C1CN=C(N1)c1ccc2ccccc2n1
-0.071468831,CNC(=O)c1ccc2cc(ccc2c1)[C@]1(O)CCn2cncc12
0.089189105,ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23
-0.057415098,Cc1cc(nnc1NCCN1CCOCC1)-c1ccccc1
0.070382517,CC[C@@H](C)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(cn2)C(=O)C2CC2)c(C)cc1C(N)=O
0.019412681,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
0.03882377,CC(=O)Nc1nnc(s1)S(N)(=O)=O
-0.021047246,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
0.015194497,COc1cc2OC3OC=CC3c2c2oc(=O)c3C(=O)CCc3c12
1.04e-05,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1
0.029754692,Clc1ccc(CON=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
-0.037036143,CN(C)C(=O)Cc1c(nc2ccc(C)cn12)-c1ccc(C)cc1
0.007086437,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C)cn2)nc(nc1OC)-c1ccncc1
-0.03247167,CCCc1c(OCC(O)COc2ccc3c(oc(cc3=O)C(O)=O)c2CCC)ccc(C(C)=O)c1O
-0.008770831,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1
0.043331747,O=C(N1CCCCC1)c1ccc2nccnc2c1
